FECHA_CORTE;CODIGO_ALUMNO;FECHA_NACIMIENTO;EDAD;SEXO;TALLER;LOCAL;DIAS;HORARIO;PERIODO;PRECIO_JESUS_MARIA;PRECIO_PUBLICO_GENERAL;PRECIO_TOTAL;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO
20240430;dabd47d4a3421402184aa9a4a8452952f8f599c97636c17ed68939ae261ad3f5;41622;4;FEMENINO;PREBALLET;CASA DE LA JUVENTUD;LUNES - MIERCOLES;4:00 PM - 5:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;dc1c6c8988ba51082a7e3ef4fcc6ad06524dff48a299b6afdbf9d507138c7db9;41622;13;MASCULINO;NATACIÓN PATERA 3 A 5 AÑOS;PISCINA MUNICIPAL;MIERCOLES - SABADO;3:00 PM - 4:00 PM / 10:00 AM - 11:00 AM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;dd7102d9a3c2746db95f6ab9ea56c81fde31041cf04592652961fbe8ca274778;41622;8;FEMENINO;TAEKWONDO;CASA DE LA JUVENTUD;MARTES - JUEVES;6:00 PM - 7:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;dfb6711535e2f96a1aa5427fb4f952fd77c2849da9b01a976c7d906059301797;43532;5;FEMENINO;FUTBOL MIXTO;PARQUE PRÓCERES;LUNES - MIERCOLES;4:00 PM - 5:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;dfc689196f250572f5a4b0705aa965bb5acde98ec042cb21c4ba620c5013c4e4;43532;9;MASCULINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MARTES - SABADO;4:00 PM - 5:00 PM / 2:00 PM - 3:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;dfc70af53f69b50475a15c0a47eca0c631693d5e234fba7d225c56517ca0c563;25568;9;FEMENINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MIERCOLES - SABADO;3:00 PM - 4:00 PM / 10:00 AM - 11:00 AM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;e1063eb3df1d84194ebd55fa67d016df91be207c41b6250b499644ef1000ed5a;42185;10;MASCULINO;VOLEY;CASA DE LA JUVENTUD;LUNES - MIERCOLES;4:00 PM - 5:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;e1063eb3df1d84194ebd55fa67d016df91be207c41b6250b499644ef1000ed5a;40114;10;MASCULINO;TENIS DE MESA;CASA DE LA JUVENTUD;MARTES - JUEVES;4:00 PM - 5:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;e1451b5f28878303270b89915c70325a03ff9ecf73afde5c3ba0140eaaa22c22;25568;68;FEMENINO;VOLEY MÁSTER;"CENTRO DEPORTIVO ""EL OLIVAR""";LUNES - MIERCOLES;9:00 PM - 10:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;e1451b5f28878303270b89915c70325a03ff9ecf73afde5c3ba0140eaaa22c22;25764;68;FEMENINO;VOLEY MÁSTER;"CENTRO DEPORTIVO ""EL OLIVAR""";LUNES - MIERCOLES;8:00 PM - 9:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;e49a8b21c24c512d15f33810a3f230a436062293fe1705651b9b115650ee33a8;44435;10;MASCULINO;TAEKWONDO;CASA DE LA JUVENTUD;MARTES - JUEVES;6:00 PM - 7:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;e4fee8d6b44ed1e3141a300fb3ac1c05256a7d076dbfb7113161dbcf284cee14;40796;7;MASCULINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MARTES - SABADO;4:00 PM - 5:00 PM / 2:00 PM - 3:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;e594807b852e996e6fef63c146cdd9a7e296f9427569752c405c1de56840daab;44913;11;FEMENINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MIERCOLES - SABADO;4:00 PM - 5:00 PM / 3:00 PM - 4:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;e594807b852e996e6fef63c146cdd9a7e296f9427569752c405c1de56840daab;25568;11;FEMENINO;CLOWN;CENTRO CULTURAL;LUNES - MIERCOLES;6:00 PM - 7:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;e65532e3b62e84a41c6e5fb42600b2c15e965d3dc255d53d54259c9c6b1f5a8c;25568;40;FEMENINO;VOLEY MÁSTER;"CENTRO DEPORTIVO ""EL OLIVAR""";LUNES - MIERCOLES;8:00 PM - 9:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;e93a3de8c4ae75d6c4ea1858e16456cf1a08f39d3c925102aafeb2dc330e706d;43673;0;FEMENINO;ESTIMULACIÓN TEMPRANA;CASA DE LA JUVENTUD;SABADO;10:00 AM - 12:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;e989b0856e7bf80cf62b6b156059ca6b73e81f9c8b00aa7c86d40b921d7b35b0;43673;13;MASCULINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;JUEVES - SABADO;4:00 PM - 5:00 PM / 4:00 PM - 5:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
